# surface	dialect	category	accent	stress_index	phonemes	source	note
# POLICY: 重子音(geminate)は単一子音表記。スウェーデン語の重子音は先行短母音で表現される（例: gnugga = n ɵ|ɡ a）。
# ===== 機能語 (function_word) =====
design	*	loanword_en	2	1	d ɛ|s a j n	manual	英語由来
jeans	*	loanword_en	1	0	d ɕ iː n s	manual	j→tj音
juice	*	loanword_en	1	0	d ɕ ʉː s	manual	j→tj音
jeep	*	loanword_en	1	0	d ɕ iː p	manual	j→tj音
jazz	*	loanword_en	1	0	d ɕ a s	manual	j→tj音（スウェーデン語化）
jogging	*	loanword_en	2	0	d ɕ ɔ|ɡ ɪ ŋ	manual	j→tj音
strejk	*	loanword_en	1	0	s t r ɛ j k	manual	英語strike由来
tajm	*	loanword_en	1	0	t a j m	manual	英語time由来（スウェーデン語綴り）
mejl	*	loanword_en	1	0	m ɛ j l	manual	英語mail由来（スウェーデン語綴り）
webb	*	loanword_en	1	0	v ɛ b	manual	英語web由来
blogg	*	loanword_en	1	0	b l ɔ ɡ	manual	英語blog由来
chatt	*	loanword_en	1	0	ɕ a t	manual	英語chat由来、ch→tj音
mail	*	loanword_en	1	0	m ɛ j l	manual	英語由来
film	*	loanword_en	1	0	f ɪ l m	manual	英語由来
sport	*	loanword_en	1	0	s p ɔ ʈ	manual	英語由来（そり舌化）
sport	finland	loanword_en	1	0	s p ɔ r t	manual	英語由来（フィンランド：そり舌化なし）
tennis	*	loanword_en	2	0	t ɛ|n ɪ s	manual	英語由来
fotboll	*	loanword_en	2	0	f ʊ t|b ɔ l	manual	英語football由来（複合語fot=短母音/ʊ/）
hockey	*	loanword_en	2	0	h ɔ|k ɛ j	manual	英語由来
golf	*	loanword_en	1	0	ɡ ɔ l f	manual	英語由来
match	*	loanword_en	1	0	m a t ɧ	manual	英語由来
shorts	*	loanword_en	1	0	ɧ ɔ ʈ s	manual	英語sh→sj音（そり舌化）
shorts	finland	loanword_en	1	0	ɧ ɔ r t s	manual	英語sh→sj音（フィンランド：そり舌化なし）
shopping	*	loanword_en	2	0	ɧ ɔ|p ɪ ŋ	manual	英語sh→sj音
workshop	*	loanword_en	2	0	v ɔ r k|ɧ ɔ p	manual	英語由来
hamburgare	*	loanword_en	2	0	h a m|b ɵ r|ɡ a r ɛ	manual	英語由来（スウェーデン語形）
story	*	loanword_en	2	0	s t oː|r ɪ	manual	英語由来
container	*	loanword_en	2	1	k ɔ n|t ɛ j|n ɛ r	manual	英語由来
manager	*	loanword_en	2	0	m a|n ɛ|d ɕ ɛ r	manual	英語由来
image	*	loanword_en	2	0	ɪ|m ɪ d ɕ	manual	英語由来
service	*	loanword_en	2	0	s øː r|v ɪ s	manual	英語由来
party	*	loanword_en	2	0	p ɑː r|t ɪ	manual	英語由来（そり舌化なし）
partner	*	loanword_en	2	0	p ɑː ʈ|n ɛ r	manual	英語由来（そり舌化）
partner	finland	loanword_en	2	0	p ɑː r t|n ɛ r	manual	英語由来（フィンランド：そり舌化なし）
laptop	*	loanword_en	2	0	l a p|t ɔ p	manual	英語由来
internet	*	loanword_en	2	0	ɪ n|t ɛ r|n ɛ t	manual	英語由来
podcast	*	loanword_en	2	0	p ɔ d|k a s t	manual	英語由来
streama	*	loanword_en	2	0	s t r iː|m a	manual	英語stream+スウェーデン語活用
# ===== その他外来語 (loanword_other) =====
psykologi	*	loanword_other	2	3	p s yː|k ɔ|l ɔ|ɡ iː	manual	ギリシャ語由来
psykolog	*	loanword_other	2	2	p s yː|k ɔ|l oː ɡ	manual	ギリシャ語由来
filosofi	*	loanword_other	2	3	f ɪ|l ɔ|s ɔ|f iː	manual	ギリシャ語由来
gymnasium	*	loanword_other	2	1	j ʏ m|n ɑː|s ɪ|ɵ m	manual	ラテン語由来
museum	*	loanword_other	2	1	m ʉː|s eː|ɵ m	manual	ラテン語由来
centrum	*	loanword_other	2	0	s ɛ n|t r ɵ m	manual	ラテン語由来
schema	*	loanword_other	2	0	ɧ eː|m a	manual	ギリシャ語由来、sch→sj音
schack	*	loanword_other	1	0	ɧ a k	manual	ドイツ語由来、sch→sj音
schablon	*	loanword_other	2	1	ɧ a b|l oː n	manual	ドイツ語由来、sch→sj音
schnaps	*	loanword_other	1	0	ɧ n a p s	manual	ドイツ語由来、sch→sj音
schäfer	*	loanword_other	2	0	ɧ ɛː|f ɛ r	manual	ドイツ語由来、sch→sj音
zebra	*	loanword_other	2	0	s eː|b r a	manual	外来語、z→s
# ===== sj音例外 (sj_exception: -tion/-sion等) =====
station	*	sj_exception	2	1	s t a|ɧ uː n	manual	-tion→sj音
nation	*	sj_exception	2	1	n a|ɧ uː n	manual	-tion→sj音
information	*	sj_exception	2	3	ɪ n|f ɔ r|m a|ɧ uː n	manual	-tion→sj音
kommunikation	*	sj_exception	2	4	k ɔ|m ʉː|n ɪ|k a|ɧ uː n	manual	-tion→sj音
situation	*	sj_exception	2	3	s ɪ|t ʉː|a|ɧ uː n	manual	-tion→sj音
operation	*	sj_exception	2	3	ɔ|p ɛ|r a|ɧ uː n	manual	-tion→sj音
tradition	*	sj_exception	2	2	t r a|d ɪ|ɧ uː n	manual	-tion→sj音
produktion	*	sj_exception	2	2	p r ɔ|d ɵ k|ɧ uː n	manual	-tion→sj音
funktion	*	sj_exception	2	1	f ɵ ŋ k|ɧ uː n	manual	-tion→sj音
reaktion	*	sj_exception	2	2	r ɛ|a k|ɧ uː n	manual	-tion→sj音
organisation	*	sj_exception	2	4	ɔ r|ɡ a|n ɪ|s a|ɧ uː n	manual	-tion→sj音
revolution	*	sj_exception	2	3	r ɛ|v ɔ|l ʉː|ɧ uː n	manual	-tion→sj音
education	*	sj_exception	2	3	ɛ|d ʉː|k a|ɧ uː n	manual	-tion→sj音（英語化綴り）
relation	*	sj_exception	2	2	r ɛ|l a|ɧ uː n	manual	-tion→sj音
mission	*	sj_exception	2	1	m ɪ|ɧ uː n	manual	-sion→sj音
passion	*	sj_exception	2	1	p a|ɧ uː n	manual	-sion→sj音
pension	*	sj_exception	2	1	p a ŋ|ɧ uː n	manual	-sion→sj音
version	*	sj_exception	2	1	v ɛ ʂ|ɧ uː n	manual	-sion→sj音
diskussion	*	sj_exception	2	2	d ɪ s|k ɵ|ɧ uː n	manual	-ssion→sj音
expression	*	sj_exception	2	2	ɛ k s|p r ɛ|ɧ uː n	manual	-ssion→sj音
television	*	sj_exception	2	3	t ɛ|l ɛ|v ɪ|ɧ uː n	manual	-sion→sj音
dimension	*	sj_exception	2	2	d ɪ|m ɛ n|ɧ uː n	manual	-sion→sj音
lektion	*	sj_exception	2	1	l ɛ k|ɧ uː n	manual	-tion→sj音
sektion	*	sj_exception	2	1	s ɛ k|ɧ uː n	manual	-tion→sj音
auktion	*	sj_exception	2	1	a ɵ k|ɧ uː n	manual	-tion→sj音
destruktion	*	sj_exception	2	2	d ɛ|s t r ɵ k|ɧ uː n	manual	-tion→sj音
instruktion	*	sj_exception	2	2	ɪ n|s t r ɵ k|ɧ uː n	manual	-tion→sj音
konstruktion	*	sj_exception	2	2	k ɔ n|s t r ɵ k|ɧ uː n	manual	-tion→sj音
introduktion	*	sj_exception	2	3	ɪ n|t r ɔ|d ɵ k|ɧ uː n	manual	-tion→sj音
position	*	sj_exception	2	2	p ɔ|s ɪ|ɧ uː n	manual	-tion→sj音
proportion	*	sj_exception	2	2	p r ɔ|p ɔ ʂ|ɧ uː n	manual	-tion→sj音
infektion	*	sj_exception	2	2	ɪ n|f ɛ k|ɧ uː n	manual	-tion→sj音
kollektion	*	sj_exception	2	2	k ɔ|l ɛ k|ɧ uː n	manual	-tion→sj音
# ===== 軟音化例外 (softening_exception: k/gが軟母音前で硬音のまま) =====
gem	*	softening_exception	1	0	ɡ ɛ m	manual	g硬音維持（クリップ）
gäng	*	softening_exception	1	0	ɡ ɛ ŋ	manual	g硬音維持（ギャング）
kex	*	softening_exception	1	0	k ɛ k s	manual	k硬音維持（クラッカー）
kille	*	softening_exception	2	0	k ɪ|l ɛ	manual	k硬音維持（男の子）
kille	finland	softening_exception	2	0	k ɪ|l ɛ	manual	k硬音維持（フィンランド同形）
kiosk	*	softening_exception	2	1	k ɪ|ɔ s k	manual	k硬音維持
kissa	*	softening_exception	2	0	k ɪ|s a	manual	k硬音維持（猫/おしっこ）
kist	*	softening_exception	1	0	k ɪ s t	manual	k硬音維持（箱）
kör	*	softening_exception	1	0	k øː r	manual	k硬音維持（合唱）※動詞köraはɕ
# ===== 地名 (place_name) =====
Stockholm	*	place_name	2	0	s t ɔ k|h ɔ l m	manual	首都（ckは/k/のみ）
Göteborg	*	place_name	2	0	j øː|t ɛ|b ɔ r j	manual	不規則（G→j、語末g→j）
Malmö	*	place_name	2	0	m a l|m øː	manual	南部都市
Uppsala	*	place_name	2	0	ɵ p|s ɑː|l a	manual	大学都市
Lund	*	place_name	1	0	l ɵ n d	manual	南部大学都市
Linköping	*	place_name	2	0	l ɪ n|ɕ øː|p ɪ ŋ	manual	k→tj音
Norrköping	*	place_name	2	0	n ɔ r|ɕ øː|p ɪ ŋ	manual	k→tj音
Jönköping	*	place_name	2	0	j øː n|ɕ øː|p ɪ ŋ	manual	k→tj音
Helsingborg	*	place_name	2	0	h ɛ l|s ɪ ŋ|b ɔ r j	manual	南部都市（語末g→j）
Sundsvall	*	place_name	2	0	s ɵ n d s|v a l	manual	北部都市
Örebro	*	place_name	2	0	øː|r ɛ|b r uː	manual	中部都市
Västerås	*	place_name	2	2	v ɛ s|t ɛ r|ɔː s	manual	中部都市
Umeå	*	place_name	2	0	ʉː|m ɛ|ɔː	manual	北部都市
Luleå	*	place_name	2	0	l ʉː|l ɛ|ɔː	manual	北部都市
Gävle	*	place_name	2	0	j ɛ v|l ɛ	manual	g軟音化
Borås	*	place_name	2	1	b ʊ|r ɔː s	manual	西部都市
Eskilstuna	*	place_name	2	0	ɛ s|k ɪ l s|t ʉː|n a	manual	中部都市
Halmstad	*	place_name	2	0	h a l m|s t ɑː d	manual	西海岸都市
Karlstad	*	place_name	2	0	k ɑː l|s t ɑː d	manual	ヴェルムランド都市
Kristianstad	*	place_name	2	0	k r ɪ|s t ɕ a n|s t ɑː d	manual	南部都市
Trollhättan	*	place_name	2	2	t r ɔ l|h ɛ|t a n	manual	西部都市
Växjö	*	place_name	2	0	v ɛ k|ɧ øː	manual	x→ks、j→sj音
Kalmar	*	place_name	2	0	k a l|m ɑː r	manual	南東都市
Falun	*	place_name	2	1	f ɑː|l ʉː n	manual	ダーラナ都市
Visby	*	place_name	2	0	v iː s|b yː	manual	ゴットランド都市
Kiruna	*	place_name	2	0	k iː|r ʉː|n a	manual	北部都市
Sigtuna	*	place_name	2	0	s ɪ ɡ|t ʉː|n a	manual	歴史的都市
Skara	*	place_name	2	0	s k ɑː|r a	manual	西部都市
Ystad	*	place_name	2	0	yː|s t ɑː d	manual	南部都市
Mora	*	place_name	2	0	m uː|r a	manual	ダーラナ都市
Östersund	*	place_name	2	0	øː s|t ɛ r|s ɵ n d	manual	イェムトランド都市
Gotland	*	place_name	2	0	ɡ ɔ t|l a n d	manual	島
Norrbotten	*	place_name	2	0	n ɔ r|b ɔ|t ɛ n	manual	北部地方
Skåne	*	place_name	2	0	s k ɔː|n ɛ	manual	南部地方
Dalarna	*	place_name	2	1	d ɑː|l ɑː|ɳ a	manual	中部地方（rn→そり舌化）
Dalarna	finland	place_name	2	1	d ɑː|l ɑː r|n a	manual	中部地方（フィンランド：そり舌なし）
# ===== 黙字 (silent_letter) =====
gnom	*	silent_letter	1	0	n oː m	manual	gn-でgは黙字（ギリシャ語由来）
gnista	*	silent_letter	2	0	n ɪ s|t a	manual	gn-でgは黙字（ただし本来語）
gnugga	*	silent_letter	2	0	n ɵ|ɡ a	manual	gn-でgは黙字
gnälla	*	silent_letter	2	0	n ɛ|l a	manual	gn-でgは黙字
psykisk	*	silent_letter	2	0	s yː|k ɪ s k	manual	ps-でpは黙字（ギリシャ語由来）
psalm	*	silent_letter	1	0	s a l m	manual	ps-でpは黙字（ギリシャ語由来）
pseudo	*	silent_letter	2	0	s øː|d oː	manual	ps-でpは黙字（標準スウェーデン語発音）
pneumatisk	*	silent_letter	2	1	n ɛ v|m ɑː|t ɪ s k	manual	pn-でpは黙字
hjul	*	silent_letter	1	0	j ʉː l	manual	hj-でhは黙字
hjälp	*	silent_letter	1	0	j ɛ l p	manual	hj-でhは黙字
hjälte	*	silent_letter	2	0	j ɛ l|t ɛ	manual	hj-でhは黙字
hjärna	*	silent_letter	2	0	j ɛː|ɳ a	manual	hj-でhは黙字（rn→そり舌化）
hjärna	finland	silent_letter	2	0	j ɛː r|n a	manual	hj-でhは黙字（フィンランド：そり舌なし）
hjärta	*	silent_letter	2	0	j ɛː|ʈ a	manual	hj-でhは黙字（rt→そり舌化）
hjärta	finland	silent_letter	2	0	j ɛː r|t a	manual	hj-でhは黙字（フィンランド：そり舌なし）
ljus	*	silent_letter	1	0	j ʉː s	manual	lj-でlは黙字
ljud	*	silent_letter	1	0	j ʉː d	manual	lj-でlは黙字
ljuv	*	silent_letter	1	0	j ʉː v	manual	lj-でlは黙字
ljuga	*	silent_letter	2	0	j ʉː|ɡ a	manual	lj-でlは黙字
# ===== 不規則語 (irregular) =====
genom	*	irregular	2	0	j eː|n ɔ m	manual	g→j軟音化、through
igen	*	irregular	2	1	ɪ|j ɛ n	manual	g→j軟音化、again
igår	*	irregular	2	1	ɪ|j ɔː r	manual	g→j軟音化、yesterday
någon	*	irregular	2	0	n ɔː|ɡ ɔ n	manual	someone
något	*	irregular	2	0	n ɔː|ɡ ɔ t	manual	something
ingen	*	irregular	2	0	ɪ ŋ|ɛ n	manual	nobody
inget	*	irregular	2	0	ɪ ŋ|ɛ t	manual	nothing
ögon	*	irregular	2	0	øː|ɡ ɔ n	manual	目（複数）
öga	*	irregular	2	0	øː|ɡ a	manual	目（単数）
öra	*	irregular	2	0	øː|r a	manual	耳
rolig	*	irregular	2	0	r uː|l ɪ	manual	おもしろい、語末-ig→/ɪ/
tråkig	*	irregular	2	0	t r ɔː|k ɪ	manual	つまらない、語末-ig→/ɪ/
viktig	*	irregular	2	0	v ɪ k|t ɪ	manual	重要な、語末-ig→/ɪ/
möjlig	*	irregular	2	0	m øː j|l ɪ	manual	可能な、語末-ig→/ɪ/
vanlig	*	irregular	2	0	v ɑː n|l ɪ	manual	普通の、語末-ig→/ɪ/
farlig	*	irregular	2	0	f ɑː l|ɪ	manual	危険な、語末-ig→/ɪ/（rl→ɭなし）
lycklig	*	irregular	2	0	l ʏ k|l ɪ	manual	幸せな、語末-ig→/ɪ/
naturlig	*	irregular	2	1	n a|t ʉː l|ɪ	manual	自然な、語末-ig→/ɪ/
dålig	*	irregular	2	0	d ɔː|l ɪ	manual	悪い、語末-ig→/ɪ/
ledsen	*	irregular	2	0	l eː|s ɛ n	manual	悲しい（dは黙字）
människa	*	irregular	2	0	m ɛ|n ɪ|ɧ a	manual	人間（nniskではsk→sj音）
mycket	*	irregular	2	0	m ʏ|k ɛ t	manual	たくさん
sedan	*	irregular	2	0	s ɛ n	manual	それ以来（短縮形sen）
sju	*	irregular	0	0	ɧ ʉː	manual	数詞7、sj音
sjutton	*	irregular	2	0	ɧ ɵ|t ɔ n	manual	数詞17、sj音
sjuttio	*	irregular	2	0	ɧ ɵ|t ɪ ɔ	manual	数詞70、sj音
sällan	*	irregular	2	0	s ɛ|l a n	manual	めったに
redan	*	irregular	2	0	r eː|d a n	manual	すでに
aldrig	*	irregular	2	0	a l d|r ɪ	manual	決して（語末-ig→/ɪ/）
lagom	*	irregular	2	0	l ɑː|ɡ ɔ m	manual	ちょうどよい（スウェーデン語固有概念）
fika	*	irregular	2	0	f iː|k a	manual	コーヒーブレイク（スウェーデン文化語）
Sverige	*	irregular	2	0	s v ɛ r|j ɛ	manual	スウェーデン（国名）
svensk	*	irregular	1	0	s v ɛ n s k	manual	スウェーデンの
svenska	*	irregular	2	0	s v ɛ n|s k a	manual	スウェーデン語
bara	*	irregular	2	0	b ɑː|r a	manual	ただ/だけ
också	*	irregular	2	0	ɔ k|s ɔː	manual	〜も（也）
kanske	*	irregular	2	0	k a n|ɧ ɛ	manual	たぶん（sk→sj音）
liksom	*	irregular	2	0	l ɪ k|s ɔ m	manual	〜のように
alltid	*	irregular	2	0	a l|t iː d	manual	いつも
fortfarande	*	irregular	2	0	f ɔ ʈ|f ɑː|r a n|d ɛ	manual	まだ/依然として（rt→そり舌化）
fortfarande	finland	irregular	2	0	f ɔ r t|f ɑː|r a n|d ɛ	manual	まだ/依然として（フィンランド：そり舌なし）
egentligen	*	irregular	2	1	ɛ|j ɛ n t|l ɪ|ɡ ɛ n	manual	実際には
förmodligen	*	irregular	2	1	f øː r|m uː d|l ɪ|ɡ ɛ n	manual	おそらく
naturligtvis	*	irregular	2	2	n a|t ʉː l|ɪ k t|v iː s	manual	もちろん
ändå	*	irregular	2	1	ɛ n|d ɔː	manual	それでも
precis	*	irregular	2	1	p r ɛ|s iː s	manual	正確に
absolut	*	irregular	2	2	a b|s ɔ|l ʉː t	manual	絶対に
klockan	*	irregular	2	0	k l ɔ|k a n	manual	時計/〜時（ck→k）
väldigt	*	irregular	2	0	v ɛ l|d ɪ k t	manual	とても
ungefär	*	irregular	2	2	ɵ ŋ|ɛ|f ɛː r	manual	およそ
annorlunda	*	irregular	2	1	a|n ɔ ɭ|ɵ n|d a	manual	異なった（rl→そり舌化）
annorlunda	finland	irregular	2	1	a|n ɔ r|l ɵ n|d a	manual	異なった（フィンランド：そり舌なし）
människor	*	irregular	2	0	m ɛ|n ɪ|ɧ ɔ r	manual	人々（sk→sj音）
torsdag	*	irregular	2	0	t oː ʂ|d ɑː	manual	木曜日（rs→そり舌化、g黙字）
torsdag	finland	irregular	2	0	t oː r s|d ɑː	manual	木曜日（フィンランド：そり舌なし、g黙字）
onsdag	*	irregular	2	0	uː n s|d ɑː	manual	水曜日（g黙字）
tisdag	*	irregular	2	0	t iː s|d ɑː	manual	火曜日（g黙字）
lördag	*	irregular	2	0	l øː|d ɑː	manual	土曜日（r黙字化、g黙字）
söndag	*	irregular	2	0	s øː n|d ɑː	manual	日曜日（g黙字）
måndag	*	irregular	2	0	m ɔː n|d ɑː	manual	月曜日（g黙字）
fredag	*	irregular	2	0	f r eː|d ɑː	manual	金曜日（g黙字）
stadsbibliotek	*	irregular	2	3	s t a d s|b ɪ b|l ɪ|ɔ|t eː k	manual	市立図書館
# ===== 追加sj音例外 (sj_exception) =====
reduktion	*	sj_exception	2	2	r ɛ|d ɵ k|ɧ uː n	manual	-tion→sj音
promotion	*	sj_exception	2	2	p r ɔ|m ɔː|ɧ uː n	manual	-tion→sj音
prevention	*	sj_exception	2	2	p r ɛ|v ɛ n|ɧ uː n	manual	-tion→sj音
emission	*	sj_exception	2	2	ɛ|m ɪ|ɧ uː n	manual	-ssion→sj音
konfession	*	sj_exception	2	2	k ɔ n|f ɛ|ɧ uː n	manual	-ssion→sj音
# ===== 追加地名 (place_name) =====
Härnösand	*	place_name	2	2	h ɛː|ɳ øː|s a n d	manual	北部都市（rn→そり舌化）
Härnösand	finland	place_name	2	2	h ɛː r|n øː|s a n d	manual	北部都市（フィンランド：そり舌なし）
Södertälje	*	place_name	2	0	s øː|d ɛ r|t ɛ l|j ɛ	manual	ストックホルム近郊
Nynäshamn	*	place_name	2	0	n yː|n ɛ s|h a m n	manual	ストックホルム近郊
# ===== 追加英語外来語 (loanword_en) =====
weekend	*	loanword_en	2	1	v iː k|ɛ n d	manual	英語由来
laser	*	loanword_en	2	0	l eː|s ɛ r	manual	英語由来
scanner	*	loanword_en	2	0	s k a|n ɛ r	manual	英語由来
browser	*	loanword_en	2	0	b r ɑː|s ɛ r	manual	英語由来（スウェーデン語近似発音）
server	*	loanword_en	2	0	s øː r|v ɛ r	manual	英語由来
router	*	loanword_en	2	0	r ɵ|t ɛ r	manual	英語由来（スウェーデン語化/rʉːtɛr/）
# ===== 複合語 (compound) =====
järnväg	*	compound	2	0	j ɛː ɳ|v ɛː ɡ	manual	複合語（rn→ɳ）
järnväg	finland	compound	2	0	j ɛː r n|v ɛː ɡ	manual	複合語（フィンランド：そり舌なし）
barndom	*	compound	2	0	b ɑː ɳ|d ɔ m	manual	複合語（rn→ɳ）
barndom	finland	compound	2	0	b ɑː r n|d ɔ m	manual	複合語（フィンランド：そり舌なし）
sommardag	*	compound	2	0	s ɔ|m a r|d ɑː	manual	複合語
huvudstad	*	compound	2	0	h ʉː|v ɵ d|s t ɑː d	manual	複合語
flygplats	*	compound	2	0	f l yː ɡ|p l a t s	manual	複合語
landskap	*	compound	2	0	l a n d|s k ɑː p	manual	複合語
sjukhus	*	compound	2	0	ɧ ʉː k|h ʉː s	manual	複合語（sj音）
arbetsplats	*	compound	2	0	a r|b eː t s|p l a t s	manual	複合語
barnvagn	*	compound	2	0	b ɑː ɳ|v a ŋ n	manual	複合語（rn→ɳ）
barnvagn	finland	compound	2	0	b ɑː r n|v a ŋ n	manual	複合語（フィンランド：そり舌なし）
bokhylla	*	compound	2	0	b uː k|h ʏ|l a	manual	複合語
höghus	*	compound	2	0	h øː ɡ|h ʉː s	manual	複合語
dörrklocka	*	compound	2	0	d œ r|k l ɔ|k a	manual	複合語
folkmusik	*	compound	2	0	f ɔ l k|m ʉː|s iː k	manual	複合語
